instrument_key,expiration_date,source,label,value,epoch_time,exchange
RB 202110,2021-09-30,CME,Settlement,2.1875,1632522194,CME
RB 202111,2021-10-29,CME,Settlement,2.1377,1632522194,CME
RB 202112,2021-11-30,CME,Settlement,2.0996,1632522194,CME
RB 202201,2021-12-31,CME,Settlement,2.0822,1632522194,CME
RB 202202,2022-01-31,CME,Settlement,2.0787,1632522194,CME
RB 202203,2022-02-28,CME,Settlement,2.0854,1632522194,CME
RB 202204,2022-03-31,CME,Settlement,2.196,1632522194,CME
RB 202205,2022-04-29,CME,Settlement,2.1953,1632522194,CME
RB 202206,2022-05-31,CME,Settlement,2.1807,1632522194,CME
RB 202207,2022-06-30,CME,Settlement,2.1593,1632522194,CME
RB 202208,2022-07-29,CME,Settlement,2.1321,1632522194,CME
RB 202209,2022-08-31,CME,Settlement,2.099,1632522194,CME
RB 202210,2022-09-30,CME,Settlement,1.9684,1632522194,CME
RB 202211,2022-10-31,CME,Settlement,1.9311,1632522194,CME
RB 202212,2022-11-30,CME,Settlement,1.9035,1632522194,CME
RB 202301,2022-12-30,CME,Settlement,1.8898,1632522194,CME
RB 202302,2023-01-31,CME,Settlement,1.8868,1632522194,CME
RB 202303,2023-02-28,CME,Settlement,1.8926,1632522194,CME
RB 202304,2023-03-31,CME,Settlement,2.0258,1632522194,CME
RB 202305,2023-04-28,CME,Settlement,2.0311,1632522194,CME
RB 202306,2023-05-31,CME,Settlement,2.0276,1632522194,CME
RB 202307,2023-06-30,CME,Settlement,2.0113,1632522194,CME
RB 202308,2023-07-31,CME,Settlement,1.9871,1632522194,CME
RB 202309,2023-08-31,CME,Settlement,1.9483,1632522194,CME
RB 202310,2023-09-29,CME,Settlement,1.8173,1632522194,CME
RB 202311,2023-10-31,CME,Settlement,1.7788,1632522194,CME
RB 202312,2023-11-30,CME,Settlement,1.7647,1632522194,CME
RB 202401,2023-12-29,CME,Settlement,1.7616,1632522194,CME
RB 202402,2024-01-31,CME,Settlement,1.7693,1632522194,CME
RB 202403,2024-02-29,CME,Settlement,1.7895,1632522194,CME
RB 202404,2024-03-28,CME,Settlement,1.9739,1632522194,CME
RB 202405,2024-04-30,CME,Settlement,1.9949,1632522194,CME
RB 202406,2024-05-31,CME,Settlement,1.9902,1632522194,CME
RB 202407,2024-06-28,CME,Settlement,1.9775,1632522194,CME
RB 202408,2024-07-31,CME,Settlement,1.9576,1632522194,CME
RB 202409,2024-08-30,CME,Settlement,1.9185,1632522194,CME
RB 202410,2024-09-30,CME,Settlement,1.7879,1632522194,CME
RB 202411,2024-10-31,CME,Settlement,1.7527,1632522194,CME
RB 202412,2024-11-29,CME,Settlement,1.7247,1632522194,CME
RB 202501,2024-12-31,CME,Settlement,1.7046,1632522194,CME
